출처: http://cizz.net/pub/1583-2050-parse.txt
년도: 각 음력달의 길이 x 12개 : 해당 음력년도의 총 일수(윤달길이)     *표시는 윤달이 들어가는 달
1673 :  29  30  29  30  29  29  30  29  30  29  30  30 : 354
1674 :  29  30  30  29  30  29  29  30  29  29  30  30 : 354
1675 :  29  30  30  30  29* 29  29  30  29  30  29  30 : 384(30)
1676 :  29  30  30  29  30  29  30  29  30  29  30  29 : 354
1677 :  30  29  30  29  30  30  29  30  30  29  29  30 : 355
1678 :  29  30  29* 30  30  29  30  30  29  30  29  30 : 384(29)
1679 :  29  30  29  29  30  29  30  30  29  30  30  29 : 354
1680 :  30  29  30  29  29  30  29  30* 30  30  30  29 : 384(29)
1681 :  30  29  30  29  29  30  29  29  30  30  30  29 : 354
1682 :  30  30  29  30  29  29  30  29  29  30  30  29 : 354
1683 :  30  30  30  29  30  29* 30  29  29  30  30  29 : 384(29)
1684 :  30  30  29  30  29  30  29  30  29  29  30  29 : 354
1685 :  30  30  29  30  30  29  30  29  30  29  30  29 : 355
1686 :  29  30  30  29* 29  30  30  29  30  29  30  29 : 384(30)
1687 :  29  30  29  30  29  30  30  29  30  30  29  30 : 355
1688 :  29  30  29  29  30  29  30  29  30  30  30  29 : 354
1689 :  30  29  30* 29  30  29  29  30  30  30  29  30 : 384(29)
1690 :  30  29  30  29  29  30  29  29  30  30  29  30 : 354
1691 :  30  30  29  30  29  29  30* 29  30  29  30  30 : 384(29)
1692 :  30  29  30  30  29  29  30  29  29  30  29  30 : 354
1693 :  30  30  29  30  29  30  29  30  29  29  30  29 : 354
1694 :  30  30  29  30  29* 30  29  30  29  30  29  29 : 384(30)
1695 :  30  29  30  30  29  30  29  30  30  29  30  29 : 355
1696 :  29  30  29  30  29  30  29  30  30  30  29  30 : 355
1697 :  29  30  29* 30  29  30  29  30  30  29  30  30 : 384(29)
1698 :  29  30  29  29  30  29  29  30  30  30  29  30 : 354
1699 :  30  29  30  29  29  30  29* 30  29  30  30  30 : 384(29)
1700 :  30  29  30  29  29  30  29  29  30  29  30  30 : 354
1701 :  30  29  30  29  30  29  30  29  29  30  29  30 : 354
1702 :  30  29  30  30  29  30* 30  29  29  30  29  30 : 384(29)
1703 :  29  30  30  29  30  30  29  30  29  29  30  29 : 354
1704 :  30  29  30  29  30  30  29  30  30  29  30  29 : 355
1705 :  29  30  29  30* 30  29  30  30  29  30  30  29 : 384(29)
1706 :  30  29  29  30  29  29  30  30  29  30  30  30 : 355
1707 :  29  30  29  29  30  29  29  30  29  30  30  30 : 354
1708 :  29  30  30* 29  30  29  29  30  29  30  30  30 : 384(29)
1709 :  30  29  30  29  29  30  29  29  30  30  29  30 : 354
1710 :  29  30  30  29  30  29  30* 29  30  29  30  29 : 383(29)
1711 :  30  30  29  30  30  29  30  29  29  30  29  30 : 355
1712 :  29  30  29  30  30  29  30  29  30  29  30  29 : 354
1713 :  30  29  30  29  30* 30  30  29  30  30  29  29 : 384(29)
1714 :  30  29  30  29  30  29  30  29  30  30  30  29 : 355
1715 :  30  29  29  30  29  29  30  29  30  30  30  29 : 354
1716 :  30  30  29* 30  29  29  30  29  30  30  30  29 : 384(29)
1717 :  30  30  29  29  30  29  29  30  29  30  30  29 : 354
1718 :  30  30  29  30  29  30  29  29* 29  30  29  30 : 384(30)
1719 :  30  30  29  30  29  30  29  29  30  29  30  29 : 354
1720 :  30  30  29  30  29  30  29  30  29  30  29  30 : 355
1721 :  29  30  29  30  30  29* 29  30  29  30  29  30 : 384(30)
1722 :  29  30  29  30  29  30  30  29  30  29  30  29 : 354
1723 :  30  29  30  29  29  30  30  29  30  30  29  30 : 355
1724 :  29  30  29  30* 29  30  29  30  30  30  29  30 : 384(29)
1725 :  29  30  29  30  29  29  30  29  30  30  29  30 : 354
1726 :  30  29  30  29  30  29  29  30  29  30  29  30 : 354
1727 :  30  30  30* 29  30  29  29  30  29  30  29  30 : 384(29)
1728 :  30  29  30  30  29  30  29  29  30  29  30  29 : 354
1729 :  30  29  30  30  29  30  29* 29  30  29  30  29 : 384(30)
1730 :  30  29  29  30  30  30  29  30  29  30  29  30 : 355
1731 :  29  30  29  30  29  30  29  30  30  29  30  29 : 354
1732 :  30  29  30  29  29* 29  30  30  30  29  30  29 : 384(30)
1733 :  30  29  30  29  29  30  29  30  30  29  30  30 : 355
1734 :  29  30  29  30  29  29  30  29  30  29  30  30 : 354
1735 :  30  29  30  29* 29  29  29  30  29  30  30  30 : 384(30)
1736 :  29  30  30  29  30  29  29  30  29  29  30  30 : 354
1737 :  29  30  30  29  30  29  30  29  30* 29  30  30 : 384(29)
1738 :  29  30  30  29  30  29  30  29  30  29  30  29 : 354
1739 :  30  29  30  29  30  29  30  30  29  30  29  30 : 355
1740 :  29  30  29  29  30  30* 30  30  29  30  29  30 : 384(29)
1741 :  29  30  29  29  30  29  30  30  29  30  30  29 : 354
1742 :  30  29  30  29  29  30  29  30  29  30  30  30 : 355
1743 :  29  30  29  30* 29  29  30  29  30  30  30  29 : 383(29)
1744 :  30  30  29  30  29  29  29  30  29  30  30  29 : 354
1745 :  30  30  30  29  30  29  29  30  29  29  30  30 : 355
1746 :  29  30  30* 30  29  30  29  30  29  29  30  29 : 383(29)
1747 :  30  30  29  30  30  29  30  29  30  29  30  29 : 355
1748 :  29  30  29  30  30  29  30* 29  30  29  30  29 : 384(30)
1749 :  29  30  29  30  29  30  30  29  30  30  29  30 : 355
1750 :  29  30  29  29  30  29  30  29  30  30  30  29 : 354
1751 :  30  29  30  29  29* 29  29  30  30  29  30  30 : 384(30)
1752 :  30  29  30  29  29  29  30  29  30  30  29  30 : 354
1753 :  30  30  29  30  29  29  29  30  29  30  29  30 : 354
1754 :  30  30  29  30* 30  29  30  29  29  30  29  30 : 384(29)
1755 :  30  29  30  30  29  30  29  30  29  29  30  29 : 354
1756 :  30  30  29  30  29  30  30  29  30* 29  30  29 : 384(29)
1757 :  30  29  30  29  30  30  29  30  30  29  30  29 : 355
1758 :  29  30  29  30  29  30  29  30  30  30  29  30 : 355
1759 :  29  29  30  29  30  29* 29  30  30  29  30  30 : 384(30)
1760 :  29  30  29  29  29  30  29  30  30  29  30  30 : 354
1761 :  30  29  30  29  29  29  30  29  30  29  30  30 : 354
