출처: http://cizz.net/pub/1583-2050-parse.txt
년도: 각 음력달의 길이 x 12개 : 해당 음력년도의 총 일수(윤달길이)     *표시는 윤달이 들어가는 달
1974 :  30  30  29  30* 29  30  29  29  30  30  29  30 : 384(29)
1975 :  30  30  29  30  29  29  30  29  29  30  29  30 : 354
1976 :  30  30  29  30  29  30  29  30* 30  29  29  30 : 384(29)
1977 :  30  29  30  30  29  30  29  30  29  30  29  29 : 354
1978 :  30  30  29  30  29  30  30  29  30  29  30  29 : 355
1979 :  30  29  29  30  29  30* 29  30  30  29  30  29 : 384(30)
1980 :  30  29  29  30  29  30  29  30  30  29  30  30 : 355
1981 :  29  30  29  29  30  29  29  30  30  29  30  30 : 354
1982 :  30  29  30  29* 30  29  29  30  30  29  30  30 : 384(29)
1983 :  30  29  30  29  29  30  29  29  30  29  30  30 : 354
1984 :  30  29  30  30  29  29  30  29  29  30* 30  30 : 384(29)
1985 :  29  30  30  29  30  29  30  29  29  30  29  30 : 354
1986 :  29  30  30  29  30  30  29  30  29  30  29  29 : 354
1987 :  30  29  30  30  29  30* 30  30  29  30  29  30 : 385(29)
1988 :  29  29  30  29  30  29  30  30  29  30  30  29 : 354
1989 :  30  29  29  30  29  30  29  30  30  29  30  30 : 355
1990 :  29  30  29  29  30* 29  30  30  29  30  30  30 : 384(29)
1991 :  29  30  29  29  30  29  29  30  29  30  30  30 : 354
1992 :  29  30  30  29  29  30  29  29  30  29  30  30 : 354
1993 :  29  30  30* 30  29  30  29  29  30  29  30  29 : 383(29)
1994 :  30  30  30  29  30  29  30  29  29  30  29  30 : 355
1995 :  29  30  30  29  30  30  29  30* 30  29  29  30 : 384(29)
1996 :  29  30  29  30  30  29  30  29  30  30  29  30 : 355
1997 :  29  29  30  29  30  29  30  30  29  30  30  29 : 354
1998 :  30  29  29  30  29* 30  30  29  30  30  30  29 : 384(29)
1999 :  30  29  29  30  29  29  30  29  30  30  30  29 : 354
2000 :  30  30  29  29  30  29  29  30  29  30  30  29 : 354
2001 :  30  30  30  29* 30  29  29  30  29  30  29  30 : 384(29)
2002 :  30  30  29  30  29  30  29  29  30  29  30  29 : 354
2003 :  30  30  29  30  30  29  30  29  29  30  29  30 : 355
2004 :  29  30* 30  30  29  30  29  30  29  30  29  30 : 384(29)
2005 :  29  30  29  30  29  30  30  29  30  30  29  29 : 354
2006 :  30  29  30  29  30  29  30* 30  30  29  30  30 : 385(29)
2007 :  29  29  30  29  29  30  29  30  30  30  29  30 : 354
2008 :  30  29  29  30  29  29  30  29  30  30  29  30 : 354
2009 :  30  30  29  29  30* 29  30  29  30  29  30  30 : 384(29)
2010 :  30  29  30  29  30  29  29  30  29  30  29  30 : 354
2011 :  30  29  30  30  29  30  29  29  30  29  30  29 : 354
2012 :  30  29  30* 30  29  30  29  29  30  29  30  29 : 384(30)
2013 :  30  29  30  30  29  30  29  30  29  30  29  30 : 355
2014 :  29  30  29  30  29  30  29  30  30* 30  29  30 : 384(29)
2015 :  29  30  29  29  30  29  30  30  30  29  30  29 : 354
2016 :  30  29  30  29  29  30  29  30  30  29  30  30 : 355
2017 :  29  30  29  30  29* 30  29  30  29  30  30  30 : 384(29)
2018 :  29  30  29  30  29  29  30  29  30  29  30  30 : 354
2019 :  30  29  30  29  30  29  29  30  29  30  29  30 : 354
2020 :  30  29  30  30* 30  29  29  30  29  30  29  30 : 384(29)
2021 :  29  30  30  29  30  29  30  29  30  29  30  29 : 354
2022 :  30  29  30  29  30  30  29  30  29  30  29  30 : 355
2023 :  29  30* 30  29  30  29  30  30  29  30  29  30 : 384(29)
2024 :  29  30  29  29  30  29  30  30  29  30  30  29 : 354
2025 :  30  29  30  29  29  30* 30  29  30  30  30  29 : 384(29)
2026 :  30  29  30  29  29  30  29  30  29  30  30  30 : 355
2027 :  29  30  29  30  29  29  30  29  29  30  30  30 : 354
2028 :  29  30  30  29  30* 29  30  29  29  30  30  29 : 383(29)
2029 :  30  30  29  30  30  29  29  30  29  29  30  30 : 355
2030 :  29  30  29  30  30  29  30  29  30  29  30  29 : 354
2031 :  30  29  30* 30  29  30  30  29  30  29  30  29 : 384(29)
2032 :  30  29  29  30  29  30  30  29  30  30  29  30 : 355
2033 :  29  30  29  29  30  29  30  29  30  30  30* 30 : 384(29)
2034 :  29  30  29  29  30  29  30  29  30  30  30  29 : 354
2035 :  30  29  30  29  29  30  29  29  30  30  29  30 : 354
2036 :  30  30  29  30  29  29* 29  29  30  30  29  30 : 384(30)
2037 :  30  30  29  30  29  29  30  29  29  30  29  30 : 354
2038 :  30  30  29  30  29  30  29  30  29  29  30  29 : 354
2039 :  30  30  29  30  30* 30  29  30  29  30  29  29 : 384(29)
2040 :  30  29  30  30  29  30  30  29  30  29  30  29 : 355
2041 :  30  29  29  30  29  30  30  29  30  30  29  30 : 355
2042 :  29  30* 29  30  29  30  29  30  30  29  30  30 : 384(29)
2043 :  29  30  29  29  30  29  29  30  30  29  30  30 : 354
2044 :  30  29  30  29  29  30  29* 30  29  30  30  30 : 384(29)
2045 :  30  29  30  29  29  30  29  29  30  29  30  30 : 354
2046 :  30  29  30  30  29  29  30  29  29  30  29  30 : 354
2047 :  30  29  30  30  29* 29  30  29  29  30  29  30 : 384(30)
2048 :  29  30  30  29  30  30  29  30  29  30  29  29 : 354
2049 :  30  29  30  29  30  30  29  30  30  29  30  29 : 355
2050 :  30  29  29* 29  30  29  30  30  29  30  30  00 : 355(30)
